DPU Throughput
timestamp,FPS

DDR Bandwidth
timestamp,DDRC_PORT_S1_Read,DDRC_PORT_S1_Write,DDRC_PORT_S2_Read,DDRC_PORT_S2_Write,DDRC_PORT_S3_Read,DDRC_PORT_S3_Write,DDRC_PORT_S4_Read,DDRC_PORT_S4_Write,DDRC_PORT_S5_Read,DDRC_PORT_S5_Write,
12850870.75,421.07,27.78,415.72,438.39,0,0,0,0,0,0,
12850860.55,788.36,54.04,780.19,856.44,0,0,0,0,0,0,
12850850.34,589.62,39.47,575,627.41,0,0,0,0,0,0,
12850840.13,419.23,20.55,401.03,323.33,0,0,0,0,0,0,
12850829.92,339.78,25.93,333.51,409.46,0,0,0,0,0,0,
12850819.72,495.77,25.04,491.67,395.86,0,0,0,0,0,0,
12850809.49,909.32,43.13,903.43,685.47,0,0,0,0,0,0,
12850799.29,339.18,38.6,337.96,616.49,0,0,0,0,0,0,
12850789.09,297.02,16.36,286.57,259.02,0,0,0,0,0,0,
12850778.90,506.52,32.49,499.71,513.73,0,0,0,0,0,0,
12850768.68,799.24,48.08,795.06,765.42,0,0,0,0,0,0,
12850758.35,458.03,39.38,455.02,625.1,0,0,0,0,0,0,
12850748.13,392.91,20.12,382.53,319.28,0,0,0,0,0,0,
12850737.93,390.31,27.44,382.84,435.21,0,0,0,0,0,0,
12850727.71,682.63,52.38,678.94,835.9,0,0,0,0,0,0,
12850717.49,692.87,36.55,685.01,581.99,0,0,0,0,0,0,
12850707.27,439.05,24.04,422.25,378.71,0,0,0,0,0,0,
12850697.06,283.1,21.34,276.57,332.19,0,0,0,0,0,0,
12850686.87,623.29,41.09,614.88,650.08,0,0,0,0,0,0,
12850676.65,851.98,40.03,851.7,639.75,0,0,0,0,0,0,
12850666.44,335.56,30.36,318.73,481.1,0,0,0,0,0,0,
12850656.24,302.28,25.81,298.75,411.02,0,0,0,0,0,0,
12850646.04,576.19,28.79,573.66,456.32,0,0,0,0,0,0,
12850635.82,911.11,44.94,908.21,715.73,0,0,0,0,0,0,
12850625.60,318.74,39.04,315.8,622.28,0,0,0,0,0,0,
12850615.39,367.88,19.27,353.8,305.63,0,0,0,0,0,0,
12850605.19,398.29,26.16,392.76,414.19,0,0,0,0,0,0,
12850594.98,745.79,54.79,744.13,873.99,0,0,0,0,0,0,
12850584.78,631.44,39.53,623.88,628.79,0,0,0,0,0,0,
12850574.57,427.72,20.89,414.08,328.68,0,0,0,0,0,0,
12850564.36,346.25,25.22,338.4,399.6,0,0,0,0,0,0,
12850554.17,596.38,46.99,592.15,748.67,0,0,0,0,0,0,
12850543.95,815.89,33.75,812.67,539.32,0,0,0,0,0,0,
12850533.73,323.46,26.37,314.51,412.52,0,0,0,0,0,0,
12850523.51,347.92,27.36,341.31,433.12,0,0,0,0,0,0,
12850513.31,570.86,29.87,566.44,473.22,0,0,0,0,0,0,
12850503.06,947.66,43.18,941.3,688.59,0,0,0,0,0,0,
12850492.85,288.29,40.03,272.38,635.54,0,0,0,0,0,0,
12850482.64,323.73,16.77,312.16,264.98,0,0,0,0,0,0,
12850472.43,462.16,30.33,455.72,478.91,0,0,0,0,0,0,
12850462.20,819.95,51.72,815.29,823.7,0,0,0,0,0,0,
12850451.98,516.81,39.73,507.92,629.73,0,0,0,0,0,0,
12850441.77,400,19.94,389.16,316.96,0,0,0,0,0,0,
12850431.55,373.85,27.51,364.15,434.6,0,0,0,0,0,0,
12850421.35,656.49,49.65,650.34,791.64,0,0,0,0,0,0,
12850410.70,755.96,36.89,746.48,585.13,0,0,0,0,0,0,
